Title,Date1,Date2,Time,Location,Summary,Description,id
CMU Pantry Hours,"Wednesday, October 16","October 16, 2024",4:30 - 7:30 p.m. Weekly (to Dec 20),CMU Pantry,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,10081
Voter Registration Assistance,"Wednesday, October 16","October 16, 2024",6 - 9 p.m. Weekly (to Dec 5),"Nexus of Civic Engagement, Cohon University Center...","A member of the CMU Votes team will be available to help you register to vote, check your voter registration status, and/or find your polling place for the upcoming election.","A member of the CMU Votes team will be available to help you register to vote, check your voter registration status, and/or find your polling place for the upcoming election.",12310
Fall Break; No Classes,"Wednesday, October 16","October 14 - 19, 2024",All Day,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12422
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Wednesday, October 16","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Junior Communications Studio Exhibit,"Wednesday, October 16","Oct. 10 - Nov. 6, 2024",All Day,"Cohon University Center, Main Hallway","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement.","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement.",12484
"Like, Totally Transformative: CMU in the 1980s","Wednesday, October 16","Aug. 30 - Nov. 27, 2024",All Day,Hunt Library Gallery,"This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!",10974
Meaningful Play 2024,"Wednesday, October 16","October 16 - 18, 2024",All Day,Tepper School of Business,The CMU Center for Transformational Play is hosting Meaningful Play for the first time in 2024.,The CMU Center for Transformational Play is hosting Meaningful Play for the first time in 2024.,12463
National Disability Employment Awareness Month,"Wednesday, October 16","October 1 - 31, 2024",All Day,,,"Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs.",9893
Scholars at Risk USA General Assembly,"Wednesday, October 16","October 16 - 17, 2024",All Day,Cohon University Center,"This conference will bring together scholars, leaders and advocates from SAR member universities and educational associations across the nation to discuss strategies for supporting scholars and promoting academic freedom locally, in the U.S., and around the world.","This conference will bring together scholars, leaders and advocates from SAR member universities and educational associations across the nation to discuss strategies for supporting scholars and promoting academic freedom locally, in the U.S., and around the world.",11542
Sukkot,"Wednesday, October 16","October 16 - 23, 2024",All Day,,,"  Sometimes called the Feast of Tabernacles, is a seven-day Jewish holiday of thanks for the fall harvest.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. ",9901
Scholars at Risk USA General Assembly,"Thursday, October 17","October 16 - 17, 2024",Midnight,Cohon University Center,"This conference will bring together scholars, leaders and advocates from SAR member universities and educational associations across the nation to discuss strategies for supporting scholars and promoting academic freedom locally, in the U.S., and around the world.","This conference will bring together scholars, leaders and advocates from SAR member universities and educational associations across the nation to discuss strategies for supporting scholars and promoting academic freedom locally, in the U.S., and around the world.",11542
17th International Exhibition of Botanical Art & Illustration,"Thursday, October 17","October 17, 2024",9 a.m. - 5 p.m. M-F (to Dec 17),"Hunt Institute for Botanical Documentation, 5th Fl...",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,8424
CMU Pantry Hours,"Thursday, October 17","October 17, 2024",2 - 5 p.m. Weekly (to Dec 20),CMU Pantry,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,10100
Reception: 17th International Exhibition of Botanical Art & Illustration,"Thursday, October 17","October 17, 2024",6 - 8 p.m.,"Hunt Library, 5th Floor","Join us for the reception of Hunt Institute for Botanical Documentation’s 17th International Exhibition of Botanical Art & Illustration, which features 43 artworks by 43 artists, representing 19 countries. The exhibition runs through Dec. 17, 2024.","Join us for the reception of Hunt Institute for Botanical Documentation’s 17th International Exhibition of Botanical Art &amp; Illustration, which features 43 artworks by 43 artists, representing 19 countries. The exhibition runs through Dec. 17, 2024.",8467
Voter Registration Assistance,"Thursday, October 17","October 17, 2024",6 - 9 p.m. Weekly (to Nov 6),"Nexus of Civic Engagement, Room 102, Cohon Univers...","A member of the CMU Votes team will be available to help you register to vote, check your voter registration status, and/or find your polling place for the upcoming election.","A member of the CMU Votes team will be available to help you register to vote, check your voter registration status, and/or find your polling place for the upcoming election.",12319
Fall Break; No Classes,"Thursday, October 17","October 14 - 19, 2024",All Day,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12422
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Thursday, October 17","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Junior Communications Studio Exhibit,"Thursday, October 17","Oct. 10 - Nov. 6, 2024",All Day,"Cohon University Center, Main Hallway","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement.","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement.",12484
"Like, Totally Transformative: CMU in the 1980s","Thursday, October 17","Aug. 30 - Nov. 27, 2024",All Day,Hunt Library Gallery,"This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!",10974
Meaningful Play 2024,"Thursday, October 17","October 16 - 18, 2024",All Day,Tepper School of Business,The CMU Center for Transformational Play is hosting Meaningful Play for the first time in 2024.,The CMU Center for Transformational Play is hosting Meaningful Play for the first time in 2024.,12463
National Disability Employment Awareness Month,"Thursday, October 17","October 1 - 31, 2024",All Day,,,"Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs.",9893
Sukkot,"Thursday, October 17","October 16 - 23, 2024",All Day,,,"  Sometimes called the Feast of Tabernacles, is a seven-day Jewish holiday of thanks for the fall harvest.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. ",9901
Meaningful Play 2024,"Friday, October 18","October 16 - 18, 2024",Midnight,Tepper School of Business,The CMU Center for Transformational Play is hosting Meaningful Play for the first time in 2024.,The CMU Center for Transformational Play is hosting Meaningful Play for the first time in 2024.,12463
17th International Exhibition of Botanical Art & Illustration,"Friday, October 18","October 18, 2024",9 a.m. - 5 p.m. M-F (to Dec 17),"Hunt Institute for Botanical Documentation, 5th Fl...",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,8425
CMU Pantry Hours,"Friday, October 18","October 18, 2024",Noon - 3 p.m. Weekly (to Dec 20),CMU Pantry,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,10119
Black Women’s Support Group,"Friday, October 18","October 18, 2024",4 - 5:15 p.m. Weekly (to Dec 20),,"A supportive, virtual space for students who identify as Black women, facilitated by Black female therapists.","A supportive, virtual space for students who identify as Black women, facilitated by Black female therapists.",10872
Fall Break; No Classes,"Friday, October 18","October 14 - 19, 2024",All Day,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12422
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Friday, October 18","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Junior Communications Studio Exhibit,"Friday, October 18","Oct. 10 - Nov. 6, 2024",All Day,"Cohon University Center, Main Hallway","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement.","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement.",12484
"Like, Totally Transformative: CMU in the 1980s","Friday, October 18","Aug. 30 - Nov. 27, 2024",All Day,Hunt Library Gallery,"This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!",10974
National Disability Employment Awareness Month,"Friday, October 18","October 1 - 31, 2024",All Day,,,"Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs.",9893
Sukkot,"Friday, October 18","October 16 - 23, 2024",All Day,,,"  Sometimes called the Feast of Tabernacles, is a seven-day Jewish holiday of thanks for the fall harvest.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. ",9901
(M. Swimming and Diving) Washington and Lee University,"Saturday, October 19","October 19, 2024",All Day,,,"(M. Swimming and Diving) Washington and Lee University, 11:00 a.m.",11988
(W. Swimming and Diving) Washington and Lee University,"Saturday, October 19","October 19, 2024",All Day,,,"(W. Swimming and Diving) Washington and Lee University, 11:00 a.m.",11991
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Saturday, October 19","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Fall Break; No Classes,"Saturday, October 19","October 14 - 19, 2024",Midnight,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12422
CMU Pantry Hours,"Saturday, October 19","October 19, 2024",10 a.m. - 1 p.m. Weekly (to Dec 20),CMU Pantry,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,10137
(Women’s Soccer) Emory vs. Carnegie Mellon,"Saturday, October 19","October 19, 2024",11 a.m. - 2 p.m.,,,(Women’s Soccer) #23 Emory vs. #4 Carnegie Mellon,11985
(Men’s Soccer) Emory vs. Carnegie Mellon,"Saturday, October 19","October 19, 2024",1:30 - 4:30 p.m.,,,(Men’s Soccer) Emory vs. Carnegie Mellon,11984
Junior Communications Studio Exhibit,"Saturday, October 19","Oct. 10 - Nov. 6, 2024",All Day,"Cohon University Center, Main Hallway","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement.","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement.",12484
"Like, Totally Transformative: CMU in the 1980s","Saturday, October 19","Aug. 30 - Nov. 27, 2024",All Day,Hunt Library Gallery,"This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!",10974
National Disability Employment Awareness Month,"Saturday, October 19","October 1 - 31, 2024",All Day,,,"Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs.",9893
Sukkot,"Saturday, October 19","October 16 - 23, 2024",All Day,,,"  Sometimes called the Feast of Tabernacles, is a seven-day Jewish holiday of thanks for the fall harvest.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. ",9901
Voter Registration Assistance,"Sunday, October 20","October 20, 2024",4 - 7 p.m. Weekly (to Nov 6),"Nexus of Civic Engagement, Room 102, Cohon Univers...","A member of the CMU Votes team will be available to help you register to vote, check your voter registration status, and/or find your polling place for the upcoming election","A member of the CMU Votes team will be available to help you register to vote, check your voter registration status, and/or find your polling place for the upcoming election",12328
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Sunday, October 20","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Junior Communications Studio Exhibit,"Sunday, October 20","Oct. 10 - Nov. 6, 2024",All Day,"Cohon University Center, Main Hallway","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement.","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement.",12484
"Like, Totally Transformative: CMU in the 1980s","Sunday, October 20","Aug. 30 - Nov. 27, 2024",All Day,Hunt Library Gallery,"This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!",10974
National Disability Employment Awareness Month,"Sunday, October 20","October 1 - 31, 2024",All Day,,,"Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs.",9893
Sukkot,"Sunday, October 20","October 16 - 23, 2024",All Day,,,"  Sometimes called the Feast of Tabernacles, is a seven-day Jewish holiday of thanks for the fall harvest.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. ",9901
17th International Exhibition of Botanical Art & Illustration,"Monday, October 21","October 21, 2024",9 a.m. - 5 p.m. M-F (to Dec 17),"Hunt Institute for Botanical Documentation, 5th Fl...",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,8426
Conducting Scoping Reviews to Understand the Research Landscape,"Monday, October 21","October 21, 2024",Noon - 1 p.m.,Online,How can we find and synthesize all of the existing research on a topic when there is so much information out there? Scoping reviews are a popular research synthesis method for systematically describing the existing literature on a topic.,How can we find and synthesize all of the existing research on a topic when there is so much information out there? Scoping reviews are a popular research synthesis method for systematically describing the existing literature on a topic.,10215
LovingKindness Meditation,"Monday, October 21","October 21, 2024",Noon - 1 p.m. Weekly (to Nov 11),"Interfaith Room, Wellness & Meaning-Making Sui...",Loving-kindness is a wholesome inner capacity of the human mind that heals both oneself and others.,Loving-kindness is a wholesome inner capacity of the human mind that heals both oneself and others.,12132
Neurospicy — Graduate,"Monday, October 21","October 21, 2024",1 - 2:30 p.m. Weekly (to Dec 13),Morewood Gardens Group Room,Neurospicy is a supportive space for students across the neurodiverse umbrella to discuss their experiences traversing neuro-typical and allistic landscapes.,Neurospicy is a supportive space for students across the neurodiverse umbrella to discuss their experiences traversing neuro-typical and allistic landscapes.,10327
CMU Pantry Hours,"Monday, October 21","October 21, 2024",2 - 5 p.m. Weekly (to Dec 20),CMU Pantry,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,10044
PhD Student Support Group,"Monday, October 21","October 21, 2024",6:30 - 7:30 p.m. Weekly (to Dec 13),,"The PhD Support Group offers space to confidentially discuss the stressors and challenges of navigating relationships with advisors and peers, academic milestones, academic hazing, low motivation, struggles with self-confidence, and efforts to lead a more balanced life.","The PhD Support Group offers space to confidentially discuss the stressors and challenges of navigating relationships with advisors and peers, academic milestones, academic hazing, low motivation, struggles with self-confidence, and efforts to lead a more balanced life.",10360
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Monday, October 21","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Junior Communications Studio Exhibit,"Monday, October 21","Oct. 10 - Nov. 6, 2024",All Day,"Cohon University Center, Main Hallway","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement.","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement.",12484
"Like, Totally Transformative: CMU in the 1980s","Monday, October 21","Aug. 30 - Nov. 27, 2024",All Day,Hunt Library Gallery,"This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!",10974
Mini-2 Classes Begin,"Monday, October 21","October 21, 2024",All Day,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12421
National Disability Employment Awareness Month,"Monday, October 21","October 1 - 31, 2024",All Day,,,"Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs.",9893
PA Voter Registration Deadline,"Monday, October 21","October 21, 2024",All Day,,Last chance to register to vote in Pennsylvania!,Last chance to register to vote in Pennsylvania!,12308
Sukkot,"Monday, October 21","October 16 - 23, 2024",All Day,,,"  Sometimes called the Feast of Tabernacles, is a seven-day Jewish holiday of thanks for the fall harvest.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. ",9901
17th International Exhibition of Botanical Art & Illustration,"Tuesday, October 22","October 22, 2024",9 a.m. - 5 p.m. M-F (to Dec 17),"Hunt Institute for Botanical Documentation, 5th Fl...",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,8427
Research Data Management,"Tuesday, October 22","October 22, 2024",Noon - 1 p.m.,"Sorrells Library Den, Wean Hall Fourth Floor","Are you working on a research project that involves data? Do you want to be up to date with the new policies that federal funding (NIH, NSF, etc.) requires on Data Management Plans and Data Sharing?","Are you working on a research project that involves data? Do you want to be up to date with the new policies that federal funding (NIH, NSF, etc.) requires on Data Management Plans and Data Sharing?",10216
Parenthood in Poverty: Sarah Eichmeyer,"Tuesday, October 22","October 22, 2024",12:30 - 2 p.m.,Porter Hall 223D,"Join us for this upcoming event in the Hilliard Family Speaker Series on Behavioral Economics, co-sponsored by the Center for Behavioral and Decision Research and the Department of Social and Decision Sciences.","Join us for this upcoming event in the Hilliard Family Speaker Series on Behavioral Economics, co-sponsored by the Center for Behavioral and Decision Research and the Department of Social and Decision Sciences.",12440
CMU Pantry Hours,"Tuesday, October 22","October 22, 2024",2 - 5 p.m. Weekly (to Dec 20),CMU Pantry,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,10063
Invisible Fight: Chronic Illness Support Group,"Tuesday, October 22","October 22, 2024",4 - 5 p.m. Weekly (to Dec 17),,"Living with a chronic illness/medical condition can be an isolating experience. This support group is an opportunity for students who experience chronic conditions (i.e. asthma, diabetes, autoimmune diseases, cancer, and others) to gather in community for support and validation.","Living with a chronic illness/medical condition can be an isolating experience. This support group is an opportunity for students who experience chronic conditions (i.e. asthma, diabetes, autoimmune diseases, cancer, and others) to gather in community for support and validation.",10888
The Sangha,"Tuesday, October 22","October 22, 2024",5 - 5:45 p.m.,"Well-being Lab (Room 104), First Floor, Highmark C...","Join in for a monthly reflective space to make connections with self and others, and to be a part of a supportive and nurturing community.","Join in for a monthly reflective space to make connections with self and others, and to be a part of a supportive and nurturing community.",10262
LGBTQIA+ Support and Social Group,"Tuesday, October 22","October 22, 2024",6 - 7 p.m. Weekly (to Dec 10),Morewood Gardens Group Room,Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.,Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.,10932
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Tuesday, October 22","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Junior Communications Studio Exhibit,"Tuesday, October 22","Oct. 10 - Nov. 6, 2024",All Day,"Cohon University Center, Main Hallway","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement.","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement.",12484
"Like, Totally Transformative: CMU in the 1980s","Tuesday, October 22","Aug. 30 - Nov. 27, 2024",All Day,Hunt Library Gallery,"This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!",10974
National Disability Employment Awareness Month,"Tuesday, October 22","October 1 - 31, 2024",All Day,,,"Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs.",9893
Sukkot,"Tuesday, October 22","October 16 - 23, 2024",All Day,,,"  Sometimes called the Feast of Tabernacles, is a seven-day Jewish holiday of thanks for the fall harvest.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. ",9901
Sukkot,"Wednesday, October 23","October 16 - 23, 2024",Midnight,,,"  Sometimes called the Feast of Tabernacles, is a seven-day Jewish holiday of thanks for the fall harvest.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. ",9901
Data Visualization in R,"Wednesday, October 23","October 23, 2024",9 - 10 a.m.,Online,"Are you currently involved in work that could be augmented by visualizing your data for analysis or to communicate your findings to the public? Would you like to further your skills or learn new ways to make charts, graphs, maps using the R?","Are you currently involved in work that could be augmented by visualizing your data for analysis or to communicate your findings to the public? Would you like to further your skills or learn new ways to make charts, graphs, maps using the R?",10217
17th International Exhibition of Botanical Art & Illustration,"Wednesday, October 23","October 23, 2024",9 a.m. - 5 p.m. M-F (to Dec 17),"Hunt Institute for Botanical Documentation, 5th Fl...",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,8428
How Is Data?,"Wednesday, October 23","October 23, 2024",Noon - 1 p.m.,Hunt Library Room 308,Explore how data is processed and used to tell stories.,Explore how data is processed and used to tell stories.,10218
Data-Driven Democracy: Using Analytics and Advocacy to Combat Voter Suppression,"Wednesday, October 23","October 23, 2024",12:30 - 1:45 p.m.,"Hamburg Hall, A301",,"Dr. Chelsea N. Jones, Researcher at the Brennan Center for Justice, holds a Doctorate in Political Science and a MSPPM from Heinz College. This session will focus on her research in voting rights, elections, and redistricting.",12478
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Wednesday, October 23","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Junior Communications Studio Exhibit,"Wednesday, October 23","Oct. 10 - Nov. 6, 2024",All Day,"Cohon University Center, Main Hallway","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement.","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement.",12484
"Like, Totally Transformative: CMU in the 1980s","Wednesday, October 23","Aug. 30 - Nov. 27, 2024",All Day,Hunt Library Gallery,"This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!",10974
Mid-Semester & Mini-1 grades due by,"Wednesday, October 23","October 23, 2024",All Day,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12420
National Disability Employment Awareness Month,"Wednesday, October 23","October 1 - 31, 2024",All Day,,,"Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs.",9893
Shemini Atzeret,"Wednesday, October 23","October 23 - 25, 2024",All Day,,,"  Immediately following the seven-day Jewish festival of Sukkot, Shemini Atzeret is observed from sundown to sundown as a festival of the eighth day.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. ",9903
Gender in Process,"Wednesday, October 23","October 23, 2024",3:30 - 5 p.m. Weekly (to Dec 11),Morewood Gardens Group Room,"This is a supportive space for healing from internalized cissexism and transphobia, together.","This is a supportive space for healing from internalized cissexism and transphobia, together.",10903
