Title,Date1,Date2,Time,Location,Summary,Description,id
"Like, Totally Transformative: CMU in the 1980s","Friday, November 15","Aug. 30 - Nov. 27, 2024",All Day,Hunt Library Gallery,"This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!",10974
Native American Heritage Month,"Friday, November 15","November 1 - 30, 2024",All Day,,,"Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs.",9919
Nativity Fast,"Friday, November 15","Nov. 15 - Dec. 23, 2024",All Day,,,"  Traditional season of fasting for Eastern Orthodox Christians, in preparation for the Nativity of Christ.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. ",9929
CMU Pantry Hours,"Saturday, November 16","November 16, 2024",10 a.m. - 1 p.m. Weekly (to Dec 20),CMU Pantry,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,10141
(Women’s Basketball) Muskingum vs. Carnegie Mellon,"Saturday, November 16","November 16, 2024",2 - 5 p.m.,,,(Women’s Basketball) Muskingum vs. Carnegie Mellon,11948
Carnegie Mellon Wind Ensemble,"Saturday, November 16",Today,4 - 6 p.m.,"Kresge Theatre, College of Fine Arts @ 5000 Forbes...",,,11698
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Saturday, November 16","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
"Like, Totally Transformative: CMU in the 1980s","Saturday, November 16","Aug. 30 - Nov. 27, 2024",All Day,Hunt Library Gallery,"This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!",10974
Native American Heritage Month,"Saturday, November 16","November 1 - 30, 2024",All Day,,,"Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs.",9919
Nativity Fast,"Saturday, November 16","Nov. 15 - Dec. 23, 2024",All Day,,,"  Traditional season of fasting for Eastern Orthodox Christians, in preparation for the Nativity of Christ.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. ",9929
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Sunday, November 17","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
"Like, Totally Transformative: CMU in the 1980s","Sunday, November 17","Aug. 30 - Nov. 27, 2024",All Day,Hunt Library Gallery,"This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!",10974
Native American Heritage Month,"Sunday, November 17","November 1 - 30, 2024",All Day,,,"Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs.",9919
Nativity Fast,"Sunday, November 17","Nov. 15 - Dec. 23, 2024",All Day,,,"  Traditional season of fasting for Eastern Orthodox Christians, in preparation for the Nativity of Christ.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. ",9929
Carnegie Mellon Contemporary Ensemble,"Sunday, November 17",Today,4 - 6 p.m.,"Kresge Theatre, College of Fine Arts @ 5000 Forbes...",,,11632
17th International Exhibition of Botanical Art & Illustration,"Monday, November 18","November 18, 2024",9 a.m. - 5 p.m. M-F (to Dec 17),"Hunt Institute for Botanical Documentation, 5th Fl...",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,8446
Analyzing Scholarly Literature Using Bibliometrics,"Monday, November 18","November 18, 2024",Noon - 1 p.m.,Online,This workshop will provide an introduction to bibliometric methods.,This workshop will provide an introduction to bibliometric methods.,10233
State of the University Address,"Monday, November 18","November 18, 2024",Noon - 1:30 p.m.,"Rangos Ballroom, Cohon University Center + Online",President Farnam Jahanian will share his annual update to the university community and talk about key university achievements and priorities.,President Farnam Jahanian will share his annual update to the university community and talk about key university achievements and priorities.,12469
Neurospicy — Graduate,"Monday, November 18","November 18, 2024",1 - 2:30 p.m. Weekly (to Dec 13),Morewood Gardens Group Room,Neurospicy is a supportive space for students across the neurodiverse umbrella to discuss their experiences traversing neuro-typical and allistic landscapes.,Neurospicy is a supportive space for students across the neurodiverse umbrella to discuss their experiences traversing neuro-typical and allistic landscapes.,10331
CMU Pantry Hours,"Monday, November 18","November 18, 2024",2 - 5 p.m. Weekly (to Dec 20),CMU Pantry,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,10048
